"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
0,0,310000,1,1,28,0,0,0,0,0,0,272588,169978,156699,131276,118837,119402,9978,6699,11276,9695,19402,6270
0,0,460000,1,1,31,0,0,2,0,0,0,4533,9023,8317,12338,12744,12397,5002,1,5002,1001,3,733
0,1,60000,0,1,30,0,0,0,0,0,0,24396,25463,27036,27074,25911,26431,1463,2036,937,1911,951,2056
1,0,100000,1,3,67,2,2,2,2,2,2,16918,20511,19944,22915,23472,23016,4145,0,3260,1000,0,2286
0,0,150000,1,1,34,1,-1,-1,-1,-1,-1,0,347,-13,4085,4006,826,347,0,4098,4006,826,3146
0,0,240000,1,1,37,-2,-2,-2,-2,-2,-2,4081,7608,154353,9617,11360,3842,7644,155142,9661,11489,3870,3539
0,0,150000,0,1,37,0,0,-1,-1,-1,-2,26416,18915,16047,17633,0,0,2497,16047,18776,0,0,0
0,0,220000,0,2,41,1,2,-1,-1,-1,-1,6516,194,3619,7069,4092,0,0,3655,7069,4092,0,0
1,1,30000,0,2,39,0,-1,-1,2,0,0,22215,18243,29013,28256,28979,31369,18243,11500,0,1177,3000,0
0,0,200000,0,1,30,-2,-2,-2,-2,-2,-2,4833,6370,2342,810,9743,1000,6370,2342,810,10253,1000,7079
0,0,360000,0,2,39,1,-1,-1,-1,-1,-1,0,791,173,1640,287,2418,791,173,1640,287,2426,507
0,0,20000,0,2,26,0,0,0,0,0,0,25451,24025,21148,17767,2692,-956,3000,1500,1035,54,24056,21000
0,0,200000,0,1,35,-1,-1,2,-1,-1,-1,316,734,418,424,424,424,734,0,424,424,424,608
0,0,30000,1,2,36,-1,2,-1,-1,-1,-1,1226,390,390,390,390,0,0,390,390,390,0,780
0,0,490000,0,2,30,0,0,0,0,0,0,195330,200768,206026,203938,198453,200496,8683,10021,8017,16270,6599,6024
0,0,410000,1,2,46,-1,-1,-1,-1,-1,-1,5135,2916,13379,5165,5034,3089,2916,13379,5180,5851,3089,6271
0,1,300000,0,2,27,0,0,0,0,0,0,286321,283547,578971,293063,296677,230338,20000,12003,10524,11238,8814,9463
0,0,320000,1,2,35,0,0,0,0,0,0,274599,280021,286011,292636,298492,200098,11500,12000,12873,13020,8800,5650
0,0,240000,1,1,33,0,0,0,0,0,0,167835,170978,172217,163786,81611,79817,7200,8400,7000,3000,2900,3100
0,0,320000,0,2,55,-2,-2,-2,-2,-2,-2,11973,4076,7879,5436,51529,18088,4093,7917,5459,51787,18178,3659
1,1,230000,0,1,26,2,-1,-1,-1,-1,0,363,363,363,372,1971,2566,363,363,372,1971,1000,865
1,0,70000,1,2,48,0,0,0,0,0,-1,50927,39883,32017,17630,9730,6400,2100,1217,500,0,6400,4590
1,1,90000,0,1,26,1,2,2,-1,-1,2,23812,15616,11988,32658,30885,26639,0,1525,35011,3000,0,2000
1,1,140000,1,2,28,1,3,4,3,2,0,82265,86127,84107,82362,74000,60977,5747,0,0,0,2600,2800
0,0,310000,1,1,43,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200000,0,3,50,0,0,0,0,0,0,8413,8611,15818,21813,20890,29890,5000,8000,10000,10000,10000,4686
0,0,50000,1,2,36,0,0,0,0,0,0,43900,42499,17494,18178,18541,18929,2268,1604,1288,651,674,734
0,0,200000,1,1,31,-2,-2,-2,-2,-1,0,15321,1199,933,21227,55272,58587,5006,938,21380,58007,51413,7738
1,0,100000,1,2,40,2,2,2,2,2,0,70762,69025,74489,78660,76797,78404,0,6600,6000,0,3000,3100
0,0,460000,0,1,30,-2,-2,-2,-2,-2,-2,0,0,0,0,630,0,0,0,0,630,0,0
0,0,360000,0,1,37,0,0,0,0,0,-1,16600,19190,20384,23255,22495,380,3194,2384,3271,2509,381,2469
0,0,150000,1,3,32,0,0,0,0,0,0,148352,151267,143254,137379,35290,1200,5210,5212,4610,706,1200,0
1,0,80000,1,2,25,0,0,0,0,0,0,63771,62642,60005,53384,55060,54583,2500,2500,1900,2500,2500,2000
0,0,120000,0,2,41,0,0,0,-1,2,0,14792,20084,0,6849,6598,16205,10000,0,6849,0,10000,2000
1,0,120000,1,3,44,4,3,2,0,0,0,149229,138487,127516,124530,120937,67711,0,0,6000,5067,1548,120862
0,0,150000,1,1,31,0,0,0,0,-1,-1,110921,64600,58158,24856,704,1899,3000,1500,1000,704,1899,0
0,0,50000,1,1,25,2,0,0,0,0,0,48966,49985,50760,49535,30358,30302,2130,1905,1811,1100,1100,1200
0,0,230000,0,1,48,0,0,0,0,0,0,161083,164757,168214,159106,162436,165878,7800,7684,5600,5755,6000,6300
1,0,350000,0,2,31,1,2,0,0,0,0,279767,253462,259137,264798,269673,275672,0,9754,10000,9396,10083,9439
1,1,240000,1,1,60,2,0,0,0,0,0,184427,188583,191992,185383,179565,92788,7001,6180,6000,5951,5285,192557
0,0,320000,0,1,30,-2,-2,-2,-2,-2,-2,0,200,3663,992,1627,6661,200,3696,997,1635,6694,2508
0,0,360000,0,5,39,-1,-1,-1,-1,0,-1,3102,552,31029,7731,1154,799,552,31051,7731,0,799,3238
0,0,100000,0,2,30,1,-2,-2,-1,2,0,0,0,0,1378,1209,3174,0,0,1378,0,2000,2000
0,1,50000,0,2,27,0,0,0,0,0,0,48492,48356,32904,28864,29708,29921,1600,1715,2000,3010,2000,1100
0,0,500000,1,1,56,-1,-1,-1,-1,-1,-1,22981,97007,32109,56370,36918,35017,97345,32189,56436,36918,35017,23547
0,0,110000,0,1,34,0,0,0,0,0,0,110712,110988,98270,79402,80804,81024,4112,3648,2800,3100,3133,2800
0,1,30000,1,2,44,-1,0,-1,0,-1,-1,21043,21183,1754,666,1339,1748,1196,1757,2,1443,1949,0
0,0,330000,1,1,42,0,0,0,0,0,0,241191,114291,113296,35048,36491,37252,10000,5449,5000,2000,2000,5000
0,0,260000,1,1,30,-1,-1,-1,-1,-1,-1,1943,855,7288,1055,710,755,855,7288,1055,710,755,955
0,0,150000,1,2,25,0,0,0,0,0,0,140662,144334,148016,150128,94834,97487,6000,6000,5176,5000,4002,3628
1,0,500000,0,2,40,-1,-1,-1,-1,-1,-2,2231,-9,2312,2928,0,0,0,2321,2928,0,0,0
1,1,10000,1,3,40,0,0,0,0,0,-2,8286,9395,10000,10000,0,0,1400,1000,0,0,0,0
0,1,260000,0,3,34,2,2,0,0,2,2,118706,115308,123069,129060,131682,135656,0,9670,9561,6250,6250,6250
0,0,20000,1,1,31,-2,-2,-2,-1,-1,-1,668,355,0,600,5275,841,355,0,600,5275,841,763
0,0,200000,0,2,29,1,2,0,0,0,2,57982,55005,54742,54401,42923,40365,0,2200,1671,3000,0,4600
1,0,310000,1,1,45,0,0,0,0,0,0,313268,278821,283847,290135,293350,300623,10010,11500,11015,11000,12000,23035
1,1,50000,1,2,35,0,0,0,0,-1,0,49008,49198,34239,14448,28799,29199,2171,2021,930,31074,1503,1030
0,0,360000,1,2,34,0,0,0,0,0,0,31580,32618,33610,34281,34944,35498,1549,1541,1212,1200,1000,1000
0,0,50000,0,3,25,2,2,0,0,0,0,31097,30322,31142,29391,30099,28041,0,1833,1000,1000,10000,10000
0,0,30000,1,1,24,2,2,0,0,0,0,16035,15493,16197,16669,16865,17199,0,1270,742,613,615,646
0,0,160000,1,1,41,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10000,0,3,42,0,0,-1,-1,-1,-1,4908,5665,381,390,0,780,1275,381,399,0,780,0
0,0,180000,1,1,27,0,0,0,0,0,0,20793,18795,23194,44070,39003,26424,10053,12057,30035,863,72,37
0,1,150000,0,1,24,-1,-1,-1,0,0,-1,4857,1729,49200,50000,0,50000,1733,49200,1000,0,50000,0
0,0,150000,0,4,49,1,-2,-1,-1,0,-1,-260,-2835,3960,10410,2361,2868,4,7920,10426,0,2868,4384
1,0,360000,1,2,31,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,180000,0,5,41,-1,-1,-1,-1,-1,-1,22777,20311,20726,22111,25560,2461,20328,20789,22169,25560,2461,10947
1,0,180000,0,1,44,0,0,2,0,0,0,7668,10006,7996,8960,6310,4656,2489,0,1166,126,112,244
0,1,200000,0,2,35,0,0,0,0,0,0,7677,14704,8000,10285,16285,4815,7240,2000,2285,6000,1500,0
0,0,180000,0,2,39,2,2,2,2,2,0,177113,180628,176137,183007,179505,105229,7800,0,11700,0,3775,7000
0,0,260000,0,1,44,0,0,0,0,0,0,279670,286796,295631,299692,164332,183033,11778,15000,8526,20000,20000,20092
0,0,290000,0,1,31,0,0,0,0,0,0,82939,82814,71541,59493,67821,71546,5017,4033,2828,10000,5000,3000
0,1,580000,1,1,35,-2,-2,-1,0,-1,0,9238,0,1758,2886,3733,3040,0,1758,2014,3793,7,2138
1,1,160000,0,2,47,-1,3,2,-1,-1,-1,1857,1672,836,836,836,836,0,0,836,836,836,836
0,0,80000,1,3,31,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,180000,0,1,56,-2,-2,-2,-2,-2,-2,0,0,1829,-200,0,4208,0,1829,998,200,4208,0
0,1,180000,1,5,29,1,-2,-2,-2,-2,-1,92245,64364,5527,1600,2600,390,11400,1000,340,1000,390,390
1,0,180000,1,1,37,0,0,0,0,0,-2,15288,16534,18100,19900,-100,-100,1500,2000,2000,0,0,0
0,0,160000,0,1,41,0,0,-1,0,0,0,169867,126973,88072,88783,79684,78656,3360,92532,2859,2638,3000,2584
1,1,180000,0,1,36,0,0,0,0,0,0,4911,6688,8432,9977,10030,10836,2000,2000,2000,500,1100,0
1,1,100000,0,1,49,1,2,0,0,0,2,103307,97590,99560,95952,98744,97896,0,4700,4400,6000,2000,4000
1,1,80000,0,2,35,0,0,0,0,0,0,81513,82816,74170,73609,46443,47231,3612,2830,2194,1797,2000,2000
1,0,50000,1,2,27,2,0,0,0,0,2,41932,38411,30659,30963,30505,28696,1600,1712,1016,2500,0,2848
0,1,160000,0,2,33,-1,-1,-1,-1,0,-1,8015,2453,9624,52572,7333,2210,2453,9880,52572,1546,2210,0
0,0,200000,0,1,34,-2,-2,-2,-2,-2,-2,2955,5895,15146,11575,11564,13744,5938,15682,11633,11622,13813,22699
0,0,30000,0,2,22,1,2,2,-1,2,2,22623,3019,-341,1129,1470,339,10,0,1470,341,0,12324
0,0,50000,0,2,33,0,0,0,0,0,0,14720,15743,16756,17089,17446,17825,1265,1278,611,632,668,591
0,0,210000,0,1,35,0,0,0,-2,-2,-2,142422,143650,0,0,0,0,6500,0,0,0,0,0
1,1,50000,0,3,29,2,2,0,0,0,0,59077,55607,54882,53894,52382,53947,0,2700,2450,1830,4300,6500
0,0,50000,0,1,23,0,0,2,0,0,0,9978,12493,10447,12247,9195,4995,3000,0,2020,0,100,2000
1,0,380000,1,1,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,60000,1,1,27,0,0,0,-2,-2,-2,10908,13331,0,0,0,0,8331,0,0,0,0,3860
0,0,50000,0,1,30,0,0,0,2,2,2,19930,36105,29604,27764,28656,29087,28019,13000,0,2000,1000,5000
0,0,20000,1,2,34,0,0,2,3,2,0,14950,16446,19844,19162,18704,19226,2065,3398,0,0,780,18010
0,1,200000,0,2,30,0,0,0,-2,-2,-2,25874,16298,0,0,0,0,1048,0,0,0,0,0
1,1,290000,1,1,27,0,0,0,0,0,0,246284,218441,176099,170282,166869,173273,10000,8000,6500,7000,10000,10000
0,0,20000,0,2,22,0,0,2,2,2,2,15169,17793,17207,20409,20844,20349,2874,0,3490,900,0,361
1,1,30000,0,3,47,2,2,0,0,2,0,25280,24589,26160,29927,29336,29820,0,2000,4200,0,1100,1100
1,0,70000,0,1,30,0,-1,-1,2,0,0,6749,64626,47161,27534,26660,27022,64626,3000,0,946,1424,1000
0,1,20000,1,2,24,0,0,0,0,0,0,17924,18475,19539,19396,11643,11578,1400,1380,1181,1000,500,500
0,0,170000,0,2,41,-2,-2,-2,-2,-2,-2,736,736,1156,316,316,316,736,1156,316,316,316,316
0,0,100000,1,2,26,0,0,0,0,0,0,30928,32186,32949,33680,34419,37782,2500,2000,2000,2000,4500,40000
1,1,210000,1,1,30,0,0,0,0,0,2,65600,63396,64150,66135,70118,67254,2300,3000,3000,5000,0,3000
1,1,160000,1,2,55,0,0,0,0,0,0,155389,152162,154715,155026,79051,81089,6911,6500,4270,2518,2994,0
1,0,210000,1,2,41,2,2,2,2,2,2,85639,87705,90376,90687,91888,93852,4200,4800,2500,3900,3400,3400
0,0,80000,0,3,46,2,0,0,0,-1,-1,58934,52253,34721,5544,9318,7298,2254,2086,19,9346,7319,1352
0,0,30000,1,2,54,0,0,0,0,0,0,26278,24767,27533,26400,25620,390,1700,3400,2528,0,390,780
0,0,80000,0,2,37,0,0,0,0,0,0,39839,40596,41914,42618,43525,44433,1700,1996,1700,1745,1800,2500
0,0,30000,0,2,23,-2,-2,-2,-2,-2,-2,318,0,0,0,0,0,0,0,0,0,0,0
0,0,450000,0,1,69,-1,-1,-1,-1,-1,-1,2000,0,1173,0,6265,2374,0,1173,0,6265,2374,708
1,1,80000,0,2,25,-1,-1,-1,-1,-1,-1,3002,1921,13454,1807,3560,3337,1921,13454,1807,3560,3337,6240
1,1,490000,1,1,41,0,0,0,0,0,0,95997,98047,100412,102736,105083,107334,3600,4000,4000,4000,4000,4000
0,0,80000,0,5,25,0,0,0,0,0,0,75296,74792,75825,77454,78862,73442,4000,3400,4000,3349,2784,3000
1,1,10000,0,2,55,3,2,2,2,2,2,5358,6339,6111,7031,6780,7676,1200,0,1000,0,1000,0
0,0,20000,1,2,37,0,0,0,0,0,0,19701,20302,19200,17085,17953,19299,2000,1500,2000,2000,2000,1000
0,0,250000,1,2,31,1,-2,-2,-2,-2,-1,0,0,0,0,0,1026,0,0,0,0,1026,1026
0,0,360000,1,2,40,-1,-1,-1,-1,0,-1,250,1088,3189,3093,4019,2407,1088,3215,3104,2026,2414,8089
0,0,370000,0,1,36,-2,-2,-2,-2,-2,-2,2788,25790,3007,4246,3737,2290,25794,3007,4305,3737,2290,22259
0,0,50000,1,3,25,0,0,0,0,2,2,46277,47713,44006,29737,30615,29975,2500,2300,2500,1500,0,1000
0,0,50000,1,2,46,0,0,0,0,0,0,29254,26289,21751,20154,16784,17352,1737,1300,668,8000,1000,3100
0,0,230000,0,1,27,-2,-2,-2,-2,-2,-2,2978,6666,1951,67101,5136,10316,7000,1951,67101,5142,10316,5720
1,0,30000,1,1,45,1,2,2,2,3,2,25829,25121,27988,30515,29738,29126,0,3600,3300,0,0,1100
1,1,260000,1,1,38,0,0,0,0,0,0,94152,91774,89485,85906,83619,81260,4150,4153,2913,3012,3088,3033
0,0,200000,1,3,33,0,0,0,0,0,0,181542,173731,152447,119730,122537,109504,7100,5354,4363,4816,4381,3330
0,0,500000,1,1,46,-1,-1,-1,-1,-1,-2,991,4073,6738,2500,0,0,4082,6738,2510,0,0,1000
0,0,50000,0,2,25,0,0,0,0,0,0,50485,50397,49167,45077,36815,38203,2000,3045,1660,1500,2000,10000
1,0,190000,0,1,31,0,0,0,0,0,0,132946,136809,140664,144395,147642,151410,6000,6000,6000,5500,6000,5500
0,0,50000,1,3,55,0,0,2,0,0,2,42067,45127,44106,44839,47634,46718,4055,0,1767,3683,0,1817
0,0,340000,0,2,45,-2,-2,-2,-2,-2,-2,5754,480,2532,-36,105668,5490,482,2544,2,106196,5517,433
0,0,110000,0,1,25,-2,-2,-2,-2,-2,-2,86107,83894,85037,44819,24512,25447,0,4000,2100,2000,1500,1500
0,0,230000,0,1,38,-1,-1,0,0,0,0,2130,62469,62583,59047,52574,43723,62469,5000,2000,5000,5000,3000
0,0,30000,1,2,29,1,3,2,0,0,0,31986,31189,29634,28174,27307,24449,0,4,1020,1110,989,982
0,0,470000,1,1,38,0,0,0,0,0,0,156454,152017,153651,155381,155287,160843,5526,5484,5504,5655,9471,5269
1,0,10000,1,1,38,-1,-1,2,0,0,2,4711,9617,9307,9665,10470,10169,5000,0,500,1100,0,1000
0,0,400000,1,3,33,0,0,2,0,0,0,2487,4708,2192,11111,5675,5071,4009,6,10248,4721,4114,1855
1,0,80000,0,2,38,2,0,0,0,2,0,62622,54613,43232,32361,22382,20509,3208,1964,3428,7,1000,2900
0,0,50000,0,1,35,0,0,0,0,0,-1,46532,46624,45438,39527,7997,462,3000,1200,9,500,462,1500
1,0,30000,0,1,30,2,2,2,3,2,2,12109,12917,13909,13394,13036,15019,1300,1500,0,0,2200,0
0,0,30000,0,2,33,0,0,0,0,0,0,11042,12051,13101,14413,14476,14792,1200,1250,1537,600,550,600
0,0,280000,0,2,33,0,0,0,0,0,0,28928,24266,20209,20395,18969,18381,1634,1649,1304,703,701,705
0,0,10000,0,3,46,0,0,-2,-2,-1,0,10400,0,0,0,1864,1720,0,0,0,1864,50,1500
0,0,20000,1,2,40,1,2,0,0,0,0,20138,19531,18867,19253,20003,19470,0,1146,532,900,781,0
0,1,170000,1,4,40,0,0,0,0,0,0,171650,171841,171014,168142,169821,173014,6384,7540,7540,6301,6517,6035
1,1,320000,0,4,32,-1,-1,-1,-1,0,0,1145,4133,2488,21222,15115,27279,4135,2488,21238,5000,15000,545
0,0,50000,0,2,23,0,0,0,0,0,0,5215,6232,7251,8326,9184,10031,1106,1125,1200,1000,1000,1000
0,0,90000,0,2,25,0,0,0,0,0,0,81694,78656,78054,78116,75483,72821,3609,5000,4000,3315,7539,5000
1,0,260000,1,1,32,-1,-1,-1,2,-1,0,2112,728,100,100,499,499,733,100,0,499,0,0
0,0,500000,1,2,39,-2,-2,-2,-2,-2,-2,2082,800,1440,600,8170,600,803,1440,600,8170,600,1389
1,1,10000,0,3,52,-1,2,2,2,2,2,2465,3475,4366,4148,4579,4360,1200,1100,0,500,0,500
1,0,50000,0,2,32,0,0,0,0,0,0,44751,43952,29136,19048,17946,17340,1500,1239,612,607,2593,584
0,0,190000,0,2,34,1,-2,-2,-2,-2,-2,-18,-18,-18,-18,-18,-18,0,0,0,0,0,0
1,0,140000,0,2,37,-1,-1,-1,-1,2,-1,316,586,5842,9422,8956,316,586,5842,8956,0,316,316
0,0,70000,1,1,25,0,0,0,0,0,0,31011,28034,26363,22587,21770,19525,2002,1435,1294,1000,1000,1001
1,0,500000,1,2,38,1,2,0,0,2,0,91662,88467,90193,94629,92621,80971,0,4500,7200,8,3403,2311
1,0,360000,0,1,32,0,0,0,0,0,0,167232,166848,149903,138091,138123,140324,6121,7294,6135,4504,4669,4060
0,0,90000,0,2,45,0,0,0,0,-1,0,63049,71245,70819,20301,87497,86938,10000,1612,0,87497,10000,20000
1,0,20000,0,2,22,0,0,0,0,0,0,17958,18499,19762,19807,19830,20347,1329,1592,637,700,827,357
0,0,150000,0,1,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,80000,0,2,36,-1,-1,-1,-1,-1,-1,2741,9266,1125,4380,2210,1150,9266,1125,4401,2210,1150,390
0,0,350000,0,2,29,-1,-1,-1,-1,-1,-1,8760,5882,9845,4677,5767,6532,5932,9908,4692,5787,6548,4863
0,0,140000,0,2,33,0,0,0,-2,-1,0,89226,90212,-1037,-1037,66441,68365,3133,0,0,68383,3000,3096
0,0,210000,0,1,34,-1,-1,-1,-1,-1,-1,5081,4053,3853,3942,2338,1767,4055,3856,3945,2338,1767,0
1,0,50000,1,2,28,0,0,0,0,0,0,48433,49608,45568,9742,8790,6591,2000,1500,442,300,238,500
0,1,220000,0,3,38,0,0,0,0,0,0,120622,111593,99170,98437,91222,94061,4803,4604,3497,4000,4214,3404
